business_id,business_name,dataset_position,strategy,model,evaluator_model,input_review_count,positive_review_count,negative_review_count,input_concatenated_text,review_scores,expected_vader_score,summary_vader_score,sentiment_deviation,negative_review_cosine_similarity,geval_score,geval_response,latency_s,output_words,summary,bertscore_neg_precision,bertscore_neg_recall,bertscore_neg_f1,bertscore_all_f1,neg_attention_ratio
SsB0kJpBhIDK8CrcRWXuYA,Starbucks,top,baseline,openai/gpt-4o-mini,gpt-4o,2,1,1,"As Starbucks go this one is pretty small, and although the staff is very nice here, the lines are often too long and frankly, it's just a Starbucks and there are other choices not far away. the parking lot is very small and the drive thru makes the entire retail experience a bad one.

There are many Starbucks choices in he area, but what makes the experience worth it is the staff. They treat you like family.",0.4201|0.8462,0.6331,0.7096,0.0765,0.3062,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.5312,37,"Customers appreciate the friendly staff at this Starbucks, noting that they create a welcoming atmosphere. However, many express frustration with the small size of the location, long lines, and limited parking, which detracts from the overall experience.",0.89785,0.87244,0.88496,0.88377,1.00135
-JIeZE7f926mnRNcdnYk6Q,Borderlands Brewing,top,baseline,openai/gpt-4o-mini,gpt-4o,2,1,1,"Soooo bad. Don't waste your money. I wanted a margarita and the waitress told me they were out of marg mix so I asked for a tequila soda with lime instead and another waitress came up to me and told me they don't have a liquor license and they make their margs with wine (??) super weird and confusing. Then the original waitress came up and gave me a tequila with still water and one dry lime. Sooo gross. We ordered the shrimp tacos and didn't finish them because they were so flavorless not even the salsa had any flavor. Don't waist your time here.

I went there for lunch or that I have a buddy mine took me and I had the number 12 or whatever it is called Hanger 12 very good service was impeccable everything out of the drinks everything is Jarvis the food was in the food was outstanding I would go that I would go back there again and again",-0.2565|0.8173,0.2804,0.8442,0.5638,0.0541,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.4964,42,"Customer opinions are highly polarized, with one reviewer expressing strong dissatisfaction due to poor drink options and flavorless food, while another praises the excellent service and outstanding food quality. Overall, experiences seem to vary significantly, suggesting inconsistency in service and menu offerings.",0.85224,0.82482,0.83831,0.83413,1.00501
bbdhBsp7lbQHhMi1S7TmwA,Americana 50s Diner,top,baseline,openai/gpt-4o-mini,gpt-4o,2,1,1,"I have lived down the street from the diner for 6 years.  The owner is always there with his hair all over the place and looking like he just woke up.  I stopped going when 3 times in a row I got bad food.  The first was ham with my breakfast that was bad and tasted Like sour milk.  The site of the owner simply made us not want to come back and he never had a smile on his face.

This is where I usually go when my dad comes to town :-) he loves this type of food and atmosphere. I actually visited by myself a few days ago when I was craving breakfast items. I don't think I've ever had a bad meal there. The variety is amazing and the prices are extremely reasonable. The food is always fast hot and tasty.",-0.7377|0.7430,0.0026,0.765,0.7624,0.135,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.331,46,"Customer opinions about the diner are mixed; one reviewer expresses dissatisfaction with the food quality and the owner's appearance, leading to a decision to stop visiting. In contrast, another customer enjoys the diner for its great food, variety, and reasonable prices, highlighting a consistently positive experience.",0.86619,0.83549,0.85056,0.85366,0.99637
SsB0kJpBhIDK8CrcRWXuYA,Starbucks,top,cot,openai/gpt-4o-mini,gpt-4o,2,1,1,"As Starbucks go this one is pretty small, and although the staff is very nice here, the lines are often too long and frankly, it's just a Starbucks and there are other choices not far away. the parking lot is very small and the drive thru makes the entire retail experience a bad one.

There are many Starbucks choices in he area, but what makes the experience worth it is the staff. They treat you like family.",0.4201|0.8462,0.6331,0.8402,0.207,0.3269,5.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 4, ""consistency"": 5, ""coherence"": 5, ""overall"": 5}
```",1.2012,40,"Customers appreciate the friendly staff at this Starbucks, noting that they create a welcoming atmosphere. However, the small size of the location, long lines, and limited parking detract from the overall experience, especially given the availability of other nearby options.",0.9064,0.8857,0.89593,0.89316,1.00311
-JIeZE7f926mnRNcdnYk6Q,Borderlands Brewing,top,cot,openai/gpt-4o-mini,gpt-4o,2,1,1,"Soooo bad. Don't waste your money. I wanted a margarita and the waitress told me they were out of marg mix so I asked for a tequila soda with lime instead and another waitress came up to me and told me they don't have a liquor license and they make their margs with wine (??) super weird and confusing. Then the original waitress came up and gave me a tequila with still water and one dry lime. Sooo gross. We ordered the shrimp tacos and didn't finish them because they were so flavorless not even the salsa had any flavor. Don't waist your time here.

I went there for lunch or that I have a buddy mine took me and I had the number 12 or whatever it is called Hanger 12 very good service was impeccable everything out of the drinks everything is Jarvis the food was in the food was outstanding I would go that I would go back there again and again",-0.2565|0.8173,0.2804,0.6705,0.3901,0.0527,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.3786,50,"Customer opinions are highly polarized: one reviewer had a terrible experience with poor drink options and flavorless food, while another praised the impeccable service and outstanding food quality during their visit. Overall, it seems that experiences can vary significantly, with some customers expressing strong dissatisfaction and others enjoying their meals.",0.84384,0.82546,0.83455,0.83179,1.00332
bbdhBsp7lbQHhMi1S7TmwA,Americana 50s Diner,top,cot,openai/gpt-4o-mini,gpt-4o,2,1,1,"I have lived down the street from the diner for 6 years.  The owner is always there with his hair all over the place and looking like he just woke up.  I stopped going when 3 times in a row I got bad food.  The first was ham with my breakfast that was bad and tasted Like sour milk.  The site of the owner simply made us not want to come back and he never had a smile on his face.

This is where I usually go when my dad comes to town :-) he loves this type of food and atmosphere. I actually visited by myself a few days ago when I was craving breakfast items. I don't think I've ever had a bad meal there. The variety is amazing and the prices are extremely reasonable. The food is always fast hot and tasty.",-0.7377|0.7430,0.0026,0.6428,0.6401,0.1853,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.6575,56,"Customer opinions about the diner are mixed; one reviewer expresses dissatisfaction due to poor food quality and an unkempt owner, while another praises the diner for its delicious food, reasonable prices, and enjoyable atmosphere. Overall, the diner seems to have loyal customers who appreciate the food, but there are concerns about consistency and the owner's appearance.",0.85807,0.8372,0.84751,0.8499,0.99719
SsB0kJpBhIDK8CrcRWXuYA,Starbucks,top,repetition,openai/gpt-4o-mini,gpt-4o,2,1,1,"As Starbucks go this one is pretty small, and although the staff is very nice here, the lines are often too long and frankly, it's just a Starbucks and there are other choices not far away. the parking lot is very small and the drive thru makes the entire retail experience a bad one.

There are many Starbucks choices in he area, but what makes the experience worth it is the staff. They treat you like family.",0.4201|0.8462,0.6331,0.7096,0.0765,0.3198,5.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 4, ""consistency"": 5, ""coherence"": 5, ""overall"": 5}
```",1.7371,31,"Customers appreciate the friendly staff at this small Starbucks, which creates a welcoming atmosphere. However, they also express frustration with long lines, limited parking, and the availability of other nearby options.",0.9062,0.87537,0.89052,0.88643,1.00462
-JIeZE7f926mnRNcdnYk6Q,Borderlands Brewing,top,repetition,openai/gpt-4o-mini,gpt-4o,2,1,1,"Soooo bad. Don't waste your money. I wanted a margarita and the waitress told me they were out of marg mix so I asked for a tequila soda with lime instead and another waitress came up to me and told me they don't have a liquor license and they make their margs with wine (??) super weird and confusing. Then the original waitress came up and gave me a tequila with still water and one dry lime. Sooo gross. We ordered the shrimp tacos and didn't finish them because they were so flavorless not even the salsa had any flavor. Don't waist your time here.

I went there for lunch or that I have a buddy mine took me and I had the number 12 or whatever it is called Hanger 12 very good service was impeccable everything out of the drinks everything is Jarvis the food was in the food was outstanding I would go that I would go back there again and again",-0.2565|0.8173,0.2804,0.7964,0.516,0.0549,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.225,43,"Customer opinions are highly polarized, with one reviewer expressing extreme dissatisfaction due to poor drink options and flavorless food, while another praises the impeccable service and outstanding food quality, indicating a strong desire to return. Overall, experiences seem to vary significantly between patrons.",0.84919,0.82431,0.83657,0.83543,1.00135
bbdhBsp7lbQHhMi1S7TmwA,Americana 50s Diner,top,repetition,openai/gpt-4o-mini,gpt-4o,2,1,1,"I have lived down the street from the diner for 6 years.  The owner is always there with his hair all over the place and looking like he just woke up.  I stopped going when 3 times in a row I got bad food.  The first was ham with my breakfast that was bad and tasted Like sour milk.  The site of the owner simply made us not want to come back and he never had a smile on his face.

This is where I usually go when my dad comes to town :-) he loves this type of food and atmosphere. I actually visited by myself a few days ago when I was craving breakfast items. I don't think I've ever had a bad meal there. The variety is amazing and the prices are extremely reasonable. The food is always fast hot and tasty.",-0.7377|0.7430,0.0026,0.7783,0.7756,0.1575,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.3283,44,"Customer opinions are mixed; one reviewer expresses dissatisfaction due to consistently bad food and an unkempt owner, leading them to stop visiting. In contrast, another customer enjoys the diner for its delicious food, great variety, and reasonable prices, highlighting positive experiences during their visits.",0.85849,0.83788,0.84806,0.85081,0.99677
SsB0kJpBhIDK8CrcRWXuYA,Starbucks,middle,baseline,openai/gpt-4o-mini,gpt-4o,2,1,1,"As Starbucks go this one is pretty small, and although the staff is very nice here, the lines are often too long and frankly, it's just a Starbucks and there are other choices not far away. the parking lot is very small and the drive thru makes the entire retail experience a bad one.

There are many Starbucks choices in he area, but what makes the experience worth it is the staff. They treat you like family.",0.4201|0.8462,0.6331,0.8402,0.207,0.3354,4.0,"```json
{""negative_review_representation"": 5, ""sentiment_proportionality"": 3, ""consistency"": 5, ""coherence"": 5, ""overall"": 4}
```",1.0264,32,"Customers appreciate the friendly staff at this Starbucks, noting that they create a welcoming atmosphere. However, the small size of the location, long lines, and limited parking detract from the overall experience.",0.88647,0.89405,0.89024,0.88824,1.00225
