strategy,dataset_position,samples,avg_expected_vader_score,avg_summary_vader_score,avg_sentiment_deviation,avg_negative_review_cosine_similarity,avg_geval_score,avg_latency_s,avg_output_words,position_sensitivity
baseline,end,3,0.3054,0.7767,0.4713,0.1986,4.6667,1.5197,38.33,
baseline,middle,3,0.3054,0.5099,0.4417,0.18,4.0,1.3109,44.67,
baseline,top,3,0.3054,0.7729,0.4676,0.1651,4.0,1.4529,41.67,
cot,end,3,0.3054,0.5225,0.3158,0.1955,4.6667,1.6794,40.33,
cot,middle,3,0.3054,0.7917,0.4863,0.1835,4.6667,1.3895,44.67,
cot,top,3,0.3054,0.7178,0.4124,0.1883,4.3333,1.4124,48.67,
repetition,end,3,0.3054,0.4211,0.2821,0.1935,4.6667,1.123,38.67,
repetition,middle,3,0.3054,0.4512,0.1506,0.2185,4.3333,1.284,41.33,
repetition,top,3,0.3054,0.7614,0.456,0.1774,4.3333,1.4301,39.33,
baseline,ALL,-,-,-,-,-,-,-,-,0.0296
cot,ALL,-,-,-,-,-,-,-,-,0.1705
repetition,ALL,-,-,-,-,-,-,-,-,0.3054
